Country,Language,variable,value,Correct
China,Chinese (traditional),zav1.12,她發覺一隻手套不見了,1
China,Chinese (traditional),zav1.12,她發覺不見了一隻 手套,1
China,Chinese (traditional),zav1.12,她發覺不見了一隻手套,1
China,Chinese (traditional),zav1.12,她發覺不見了手套,2
China,Chinese (traditional),zav1.12,她發覺手套不見了,2
China,Chinese (traditional),zav1.12,她發覺手套不見了　,2
China,Chinese (traditional),zav1.12,,0
China,Chinese (traditional),zav1.13,NA,0
China,Chinese (traditional),zav1.13,她解凍它這塊肉,2
China,Chinese (traditional),zav1.13,她解凍這塊肉,1
China,Chinese (traditional),zav1.13,她解凍這塊肉　　,1
China,Chinese (traditional),zav1.13,她解凍這塊解凍,0
China,Chinese (traditional),zav1.13,她這塊解凍它肉,2
China,Chinese (traditional),zav1.13,她這塊解凍肉,2
China,Chinese (traditional),zav1.13,它解凍這塊肉,2
China,Chinese (traditional),zav1.13,這塊肉她解凍,2
China,Chinese (traditional),zav1.13,這塊肉她解凍它,1
China,Chinese (traditional),zav1.13,,0
China,Chinese (traditional),zav1.2,NA,0
China,Chinese (traditional),zav1.2,以前布過這隻跳蚤貓,2
China,Chinese (traditional),zav1.2,以前有過這隻貓,0
China,Chinese (traditional),zav1.2,以前這隻猫有過跳蚤,1
China,Chinese (traditional),zav1.2,以前這隻貓有過跳蚤,1
China,Chinese (traditional),zav1.2,以前這隻貓跳蚤,0
China,Chinese (traditional),zav1.2,貓以前有過跳蚤,1
China,Chinese (traditional),zav1.2,這隻貓以前有過跳蚤,1
China,Chinese (traditional),zav1.2,這隻貓以前有過跳蚤　,1
China,Chinese (traditional),zav1.2,這隻貓有過跳蚤,1
China,Chinese (traditional),zav1.2,這隻貓有過跳蚤　,1
China,Chinese (traditional),zav1.2,這隻貓有過跳蚤　　　,1
China,Chinese (traditional),zav1.2,,0
China,Chinese (traditional),zav1.3,NA,0
China,Chinese (traditional),zav1.3,他的凍瘡是很痛的,1
China,Chinese (traditional),zav1.3,他的涷涷瘡很病的,2
China,Chinese (traditional),zav1.3,他的涷瘡很痛的,2
China,Chinese (traditional),zav1.3,他的涷瘡是很痛的,1
China,Chinese (traditional),zav1.3,他的涷瘡雖然　是很痛的,1
China,Chinese (traditional),zav1.3,他的涷瘡雖然很痛的,1
China,Chinese (traditional),zav1.3,他的涷瘡雖然是很痛的,1
China,Chinese (traditional),zav1.3,他的火車是很痛的,0
China,Chinese (traditional),zav1.3,凍瘡是很痛的,2
China,Chinese (traditional),zav1.3,是他的涷瘡很痛的,2
China,Chinese (traditional),zav1.3,雖然他的凍瘡很痛的,1
China,Chinese (traditional),zav1.3,雖然他的凍瘡是很痛的,1
China,Chinese (traditional),zav1.3,雖然他的是很痛的涷瘡,2
China,Chinese (traditional),zav1.3,雖然他的涷瘡很痛的　,1
China,Chinese (traditional),zav1.3,雖然他的涷瘡是很痛的,1
China,Chinese (traditional),zav1.3,,0
China,Chinese (traditional),zav1.4,NA,0
China,Chinese (traditional),zav1.4,他\在一條小徑散步,1
China,Chinese (traditional),zav1.4,他在一1條小徑散步,1
China,Chinese (traditional),zav1.4,他在一條小徑,0
China,Chinese (traditional),zav1.4,他在一條小徑散步,1
China,Chinese (traditional),zav1.4,他在一條小徑散步　,1
China,Chinese (traditional),zav1.4,他在小徑散步,2
China,Chinese (traditional),zav1.4,他小徑在散步,0
China,Chinese (traditional),zav1.4,,0
China,Chinese (traditional),zav1.5,NA,0
China,Chinese (traditional),zav1.5,冷,2
China,Chinese (traditional),zav1.5,水是冷的,1
China,Chinese (traditional),zav1.5,這 是冷的水,1
China,Chinese (traditional),zav1.5,這是冷的水,1
China,Chinese (traditional),zav1.5,這是冷的水　,1
China,Chinese (traditional),zav1.5,這是有冷的水,2
China,Chinese (traditional),zav1.5,這水是冷的,1
China,Chinese (traditional),zav1.5,這水是冷的　　　　,1
China,Chinese (traditional),zav1.5,這水是有冷的,1
China,Chinese (traditional),zav1.5,這水有是冷的,2
China,Chinese (traditional),zav1.5,,0
China,Chinese (traditional),zav1.6,......是給這套新的電影,1
China,Chinese (traditional),zav1.6,NA,0
China,Chinese (traditional),zav1.6,是給這套新的電影,1
China,Chinese (traditional),zav1.6,給這套電影是新的,1
China,Chinese (traditional),zav1.6,這套新的電影,2
China,Chinese (traditional),zav1.6,這套新的電影是給,2
China,Chinese (traditional),zav1.6,這套是新的電影,1
China,Chinese (traditional),zav1.6,這套是新的電影　,1
China,Chinese (traditional),zav1.6,這套是新的電影送給他,0
China,Chinese (traditional),zav1.6,這套是給新的電影,2
China,Chinese (traditional),zav1.6,這套電影是新的,1
China,Chinese (traditional),zav1.6,這套電影是新的　,1
China,Chinese (traditional),zav1.6,這套電影是給新的,2
China,Chinese (traditional),zav1.6,這套電影是給新的　,2
China,Chinese (traditional),zav1.6,,0
China,Chinese (traditional),zav1.7,NA,0
China,Chinese (traditional),zav1.7,他看見火車超過,1
China,Chinese (traditional),zav1.7,他看見這軼火車超過,1
China,Chinese (traditional),zav1.7,他看見這輛火車,0
China,Chinese (traditional),zav1.7,他看見這輛火車　,0
China,Chinese (traditional),zav1.7,他看見這輛火車　　,0
China,Chinese (traditional),zav1.7,他看見這輛火車超過,1
China,Chinese (traditional),zav1.7,他看見這輛超過火車,2
China,Chinese (traditional),zav1.7,他超過這輛火車,0
China,Chinese (traditional),zav1.7,看見他超過這輛火車,2
China,Chinese (traditional),zav1.7,看見這輛火車超過他,2
China,Chinese (traditional),zav1.7,這輛火車超過他,2
China,Chinese (traditional),zav1.7,,0
China,Chinese (traditional),zav1.8,NA,0
China,Chinese (traditional),zav1.8,這湖應該結冰了,1
China,Chinese (traditional),zav1.8,這湖結了冰,2
China,Chinese (traditional),zav1.8,這湖結冰了,1
China,Chinese (traditional),zav1.8,,0
China,Chinese (traditional),zav1.9,NA,0
China,Chinese (traditional),zav1.9,一次投擲這個球,2
China,Chinese (traditional),zav1.9,投擲一次這個球,1
China,Chinese (traditional),zav1.9,投擲球一次,2
China,Chinese (traditional),zav1.9,投擲這個球一次,1
China,Chinese (traditional),zav1.9,球突然投擲一次,2
China,Chinese (traditional),zav1.9,突然投擲一次球,2
China,Chinese (traditional),zav1.9,突然投擲一次這個球,2
China,Chinese (traditional),zav1.9,突然投擲球,2
China,Chinese (traditional),zav1.9,突然投擲這個球,2
China,Chinese (traditional),zav1.9,突然投擲這個球一次,1
China,Chinese (traditional),zav1.9,突然這個球投擲一次,2
China,Chinese (traditional),zav1.9,這個球投擲一次,2
China,Chinese (traditional),zav1.9,這個球突然　投擲　一次,2
China,Chinese (traditional),zav1.9,這個球突然投擲一次,2
China,Chinese (traditional),zav1.9,這個球突然被投擲一次,2
China,Chinese (traditional),zav1.9,,0
China,Chinese (traditional),zav2.1,NA,0
China,Chinese (traditional),zav2.1,因她煮這些雞蛋,1
China,Chinese (traditional),zav2.1,因她這些煮雞蛋,2
China,Chinese (traditional),zav2.1,她煮了這些X旦,2
China,Chinese (traditional),zav2.1,她煮這些雞蛋,1
China,Chinese (traditional),zav2.1,她煮這些雞蛋　,1
China,Chinese (traditional),zav2.1,她煮這些鷄蛋,1
China,Chinese (traditional),zav2.1,她煮雞蛋,2
China,Chinese (traditional),zav2.1,這些因她煮雞蛋,2
China,Chinese (traditional),zav2.1,這些雞蛋因她煮,1
China,Chinese (traditional),zav2.1,,0
China,Chinese (traditional),zav2.10,NA,0
China,Chinese (traditional),zav2.10,因這個冒汗男人老,1
China,Chinese (traditional),zav2.10,因這個冒汗老男人　,1
China,Chinese (traditional),zav2.10,因這個老男人冒汗,1
China,Chinese (traditional),zav2.10,這個,0
China,Chinese (traditional),zav2.10,這個冒汗男人。,0
China,Chinese (traditional),zav2.10,這個冒汗老男人,2
China,Chinese (traditional),zav2.10,這個男人冒汗,0
China,Chinese (traditional),zav2.10,這個男人冒汗因老,2
China,Chinese (traditional),zav2.10,這個男人因老冒汗,1
China,Chinese (traditional),zav2.10,這個男人老冒汗,0
China,Chinese (traditional),zav2.10,這個男人老冒汘,0
China,Chinese (traditional),zav2.10,這個老男人冒汗,1
China,Chinese (traditional),zav2.10,這個老男人因冒汗,2
China,Chinese (traditional),zav2.10,這個老男人因冒汗　,2
China,Chinese (traditional),zav2.10,,0
China,Chinese (traditional),zav2.11,NA,0
China,Chinese (traditional),zav2.11,窗簾是多麼的綠色,2
China,Chinese (traditional),zav2.11,窗簾是這麼的綠色,2
China,Chinese (traditional),zav2.11,這多麼的窗簾是綠色,2
China,Chinese (traditional),zav2.11,這是多麼的綠色窗簾　　,2
China,Chinese (traditional),zav2.11,這是窗簾是綠色,1
China,Chinese (traditional),zav2.11,這是綠色窗簾,1
China,Chinese (traditional),zav2.11,這是綠色窗簾　,1
China,Chinese (traditional),zav2.11,這是這多麼的　窗簾綠色,2
China,Chinese (traditional),zav2.11,這窗簾多麼的綠色,1
China,Chinese (traditional),zav2.11,這窗簾是多麼的綠,1
China,Chinese (traditional),zav2.11,這窗簾是多麼的綠色,1
China,Chinese (traditional),zav2.11,這窗簾是綠色,1
China,Chinese (traditional),zav2.11,這窗簾是绿色,1
China,Chinese (traditional),zav2.11,,0
China,Chinese (traditional),zav2.12,NA,0
China,Chinese (traditional),zav2.12,一隻手套不見了,2
China,Chinese (traditional),zav2.12,她　發覺不見了一隻　手套,1
China,Chinese (traditional),zav2.12,她一隻手套不見了,1
China,Chinese (traditional),zav2.12,她不見了一X手X,0
China,Chinese (traditional),zav2.12,她不見了一隻手套,2
China,Chinese (traditional),zav2.12,她發覺一隻 手套不見了,1
China,Chinese (traditional),zav2.12,她發覺一隻手套不見了,1
China,Chinese (traditional),zav2.12,她發覺一雙手套不見了,0
China,Chinese (traditional),zav2.12,她發覺不見了一隻 手套,1
China,Chinese (traditional),zav2.12,她發覺不見了一隻手套,1
China,Chinese (traditional),zav2.12,她發覺不見了一隻手套　,1
China,Chinese (traditional),zav2.12,她發覺不見了手套,0
China,Chinese (traditional),zav2.12,她發覺手套不見了,0
China,Chinese (traditional),zav2.12,,0
China,Chinese (traditional),zav2.13,　她　烤了這些薯仔,1
China,Chinese (traditional),zav2.13,NA,0
China,Chinese (traditional),zav2.13,她X了這些薯仔,0
China,Chinese (traditional),zav2.13,她烤了它這些薯仔,2
China,Chinese (traditional),zav2.13,她烤了這些薯仔,1
China,Chinese (traditional),zav2.13,她烤了這些薯仔　,1
China,Chinese (traditional),zav2.13,這些薯仔她烤了,2
China,Chinese (traditional),zav2.13,這些薯仔她烤了它,1
China,Chinese (traditional),zav2.13,這些薯仔被它烤了,0
China,Chinese (traditional),zav2.13,,0
China,Chinese (traditional),zav2.2,NA,0
China,Chinese (traditional),zav2.2,以前有過貓這隻跳蚤,0
China,Chinese (traditional),zav2.2,以前有過這隻貓,0
China,Chinese (traditional),zav2.2,以前有過這隻貓　,0
China,Chinese (traditional),zav2.2,以前這隻貓有過　跳蚤,1
China,Chinese (traditional),zav2.2,以前這隻貓有過跳蚤,1
China,Chinese (traditional),zav2.2,貓以前有過跳蚤,1
China,Chinese (traditional),zav2.2,這隻貓以前有過跳蚤,1
China,Chinese (traditional),zav2.2,這隻貓以前有過跳蚤　,1
China,Chinese (traditional),zav2.2,這隻貓有過跳蚤,1
China,Chinese (traditional),zav2.2,這隻貓有過跳蚤　,1
China,Chinese (traditional),zav2.2,,0
China,Chinese (traditional),zav2.3,NA,0
China,Chinese (traditional),zav2.3,他的灼傷很痛,2
China,Chinese (traditional),zav2.3,他的灼傷是很痛,2
China,Chinese (traditional),zav2.3,他的灼傷雖然很痛,1
China,Chinese (traditional),zav2.3,他的炊傷雖然是很救,0
China,Chinese (traditional),zav2.3,灼傷很痛,0
China,Chinese (traditional),zav2.3,灼傷是很痛,0
China,Chinese (traditional),zav2.3,雖然他的他的是很痛,0
China,Chinese (traditional),zav2.3,雖然他的灼傷很痛,1
China,Chinese (traditional),zav2.3,雖然他的灼傷是很痛,1
China,Chinese (traditional),zav2.3,雖然他的灼傷是很痛　,1
China,Chinese (traditional),zav2.3,雖然灼傷很痛,2
China,Chinese (traditional),zav2.3,雖然灼傷是很痛,2
China,Chinese (traditional),zav2.3,,0
China,Chinese (traditional),zav2.4,　他在一條小徑散步,1
China,Chinese (traditional),zav2.4,NA,0
China,Chinese (traditional),zav2.4,他一條小徑散步　,2
China,Chinese (traditional),zav2.4,他在一條小徑,0
China,Chinese (traditional),zav2.4,他在一條小徑散步,1
China,Chinese (traditional),zav2.4,他在小徑一條散步,1
China,Chinese (traditional),zav2.4,他在小徑散步,1
China,Chinese (traditional),zav2.4,他在小陘散步,1
China,Chinese (traditional),zav2.4,他散步在一條小徑,2
China,Chinese (traditional),zav2.4,,0
China,Chinese (traditional),zav2.5, 這是有熱的水　,2
China,Chinese (traditional),zav2.5,NA,0
China,Chinese (traditional),zav2.5,這是有熱的水,2
China,Chinese (traditional),zav2.5,這是熱的水,1
China,Chinese (traditional),zav2.5,這有水 是熱的,2
China,Chinese (traditional),zav2.5,這有水是熱的,2
China,Chinese (traditional),zav2.5,這有熱的是水,2
China,Chinese (traditional),zav2.5,這水是 有熱的,1
China,Chinese (traditional),zav2.5,這水是熱的,1
China,Chinese (traditional),zav2.5,這水有是熱的,1
China,Chinese (traditional),zav2.5,這熱的水　這,0
China,Chinese (traditional),zav2.5,,0
China,Chinese (traditional),zav2.6,　這套　是新的電影,1
China,Chinese (traditional),zav2.6,NA,0
China,Chinese (traditional),zav2.6,是給這套新的電影,1
China,Chinese (traditional),zav2.6,這套新的電影是是,0
China,Chinese (traditional),zav2.6,這套新的電影是給,1
China,Chinese (traditional),zav2.6,這套是新的雹影,1
China,Chinese (traditional),zav2.6,這套是新的電影,1
China,Chinese (traditional),zav2.6,這套是電影給的外套,0
China,Chinese (traditional),zav2.6,這套電影是新的,1
China,Chinese (traditional),zav2.6,這套電影是新的　,1
China,Chinese (traditional),zav2.6,這套電影是新的　　,1
China,Chinese (traditional),zav2.6,"這套電影是新的, 送給他",0
China,Chinese (traditional),zav2.6,這套電影是給新的,1
China,Chinese (traditional),zav2.6,,0
China,Chinese (traditional),zav2.7,NA,0
China,Chinese (traditional),zav2.7,他看見這輛火車,1
China,Chinese (traditional),zav2.7,他看見這輛火車　,1
China,Chinese (traditional),zav2.7,他看見這輛火車超過,1
China,Chinese (traditional),zav2.7,他看见火車超過,2
China,Chinese (traditional),zav2.7,他超過這輛火車,2
China,Chinese (traditional),zav2.7,看見他超過這輛火車,1
China,Chinese (traditional),zav2.7,看見這輛火車超過他,1
China,Chinese (traditional),zav2.7,超過這輛火車他看見,1
China,Chinese (traditional),zav2.7,這輛火車看見他超過　,0
China,Chinese (traditional),zav2.7,這輛火車超過他,1
China,Chinese (traditional),zav2.7,,0
China,Chinese (traditional),zav2.8,NA,0
China,Chinese (traditional),zav2.8,應該在這樹燃燒,1
China,Chinese (traditional),zav2.8,應該在這燃燒樹,1
China,Chinese (traditional),zav2.8,應該燃燒這樹,2
China,Chinese (traditional),zav2.8,樹在燃燒,2
China,Chinese (traditional),zav2.8,樹在這應該燃燒,2
China,Chinese (traditional),zav2.8,樹應該在燃燒,1
China,Chinese (traditional),zav2.8,燃燒在這　樹,0
China,Chinese (traditional),zav2.8,這樹在燃燒,2
China,Chinese (traditional),zav2.8,這樹應該在燃燒,1
China,Chinese (traditional),zav2.8,這樹應該在燃燒　,1
China,Chinese (traditional),zav2.8,,0
China,Chinese (traditional),zav2.9,NA,0
China,Chinese (traditional),zav2.9,投擲一次這個球,2
China,Chinese (traditional),zav2.9,投擲這個球一次,1
China,Chinese (traditional),zav2.9,突然　投擲球一次,1
China,Chinese (traditional),zav2.9,突然投擲一次球,1
China,Chinese (traditional),zav2.9,突然投擲一次這個球,1
China,Chinese (traditional),zav2.9,突然投擲這個球,1
China,Chinese (traditional),zav2.9,突然投擲這個球一次,1
China,Chinese (traditional),zav2.9,這個球投擲一次,2
China,Chinese (traditional),zav2.9,這個球突然,0
China,Chinese (traditional),zav2.9,這個球突然投擲,2
China,Chinese (traditional),zav2.9,這個球突然投擲一次,2
China,Chinese (traditional),zav2.9,,0
Czech Republic,Czech,zav1.1,NA,0
Czech Republic,Czech,zav1.1,Oba zmrazila všechny zbytky,1
Czech Republic,Czech,zav1.1,ona všechny zbytky zmrazila,1
Czech Republic,Czech,zav1.1,Ona všechny zbytky zmrazila.,1
Czech Republic,Czech,zav1.1,Ona všechny zbytky zmrazila. ,1
Czech Republic,Czech,zav1.1,ona zamrazila všechny zbytky,1
Czech Republic,Czech,zav1.1,ona zmrazila všchny zbytky,1
Czech Republic,Czech,zav1.1,ona zmrazila vsechny zbytky,1
Czech Republic,Czech,zav1.1,ona zmrazila všechny zbytky,1
Czech Republic,Czech,zav1.1,ona zmrazila vŠechny zbytky,1
Czech Republic,Czech,zav1.1,Ona zmrazila všechny zbytky,1
Czech Republic,Czech,zav1.1,ona zmrazila všechny zbytky ,1
Czech Republic,Czech,zav1.1,Ona zmrazila všechny zbytky ,1
Czech Republic,Czech,zav1.1,Ona zmrazila všechny zbytky.,1
Czech Republic,Czech,zav1.1,ona zmrazila všechny zybtky,1
Czech Republic,Czech,zav1.1,ona zmrazily všechny zbytky,1
Czech Republic,Czech,zav1.1,Ona znrazila všechny zbytky,1
Czech Republic,Czech,zav1.1,všechny zbytky od zmrzliny,2
Czech Republic,Czech,zav1.1,všechny zbytky zmrazila ona,1
Czech Republic,Czech,zav1.1,zmrazila všechny zbytky od,2
Czech Republic,Czech,zav1.1,Zmrazila všechny zbytky. ,2
Czech Republic,Czech,zav1.1,,0
Czech Republic,Czech,zav1.10,muž starý se chvěje,2
Czech Republic,Czech,zav1.10,NA,0
Czech Republic,Czech,zav1.10,stary muz se chveje,1
Czech Republic,Czech,zav1.10,starý muž se chveje,1
Czech Republic,Czech,zav1.10,starý muž se chvěje,1
Czech Republic,Czech,zav1.10,Starý muž se chvěje,1
Czech Republic,Czech,zav1.10,starý můž se chvěje,1
Czech Republic,Czech,zav1.10,Starý muž se chvěje ,1
Czech Republic,Czech,zav1.10,stary muz se chveje pod,1
Czech Republic,Czech,zav1.10,Starý muž se chvěje.,1
Czech Republic,Czech,zav1.10,Starý muž se chvěje. ,1
Czech Republic,Czech,zav1.10,strarý muž se chvěje,1
Czech Republic,Czech,zav1.10,,0
Czech Republic,Czech,zav1.11,NA,0
Czech Republic,Czech,zav1.11,nebo byly záclony zelené,0
Czech Republic,Czech,zav1.11,některé zácloby byly zelené,1
Czech Republic,Czech,zav1.11,nektere zaclon byly zelene ,1
Czech Republic,Czech,zav1.11,nektere zaclony byli zelene,1
Czech Republic,Czech,zav1.11,nektere zaclony byly zelene,1
Czech Republic,Czech,zav1.11,některé záclony byly zelené,1
Czech Republic,Czech,zav1.11,Některé záclony byly zelené,1
Czech Republic,Czech,zav1.11,některé záclony byly zelené ,1
Czech Republic,Czech,zav1.11,Některé záclony byly zelené ,1
Czech Republic,Czech,zav1.11,Některé záclony byly zelené.,1
Czech Republic,Czech,zav1.11,Některé záclony byly zelené. ,1
Czech Republic,Czech,zav1.11,Některé záclony byly zelenéů,1
Czech Republic,Czech,zav1.11,některé záclony byly zlené,1
Czech Republic,Czech,zav1.11,některé zácony byly zelené,1
Czech Republic,Czech,zav1.11,záclony byly některé zelené,2
Czech Republic,Czech,zav1.11,záclony zelené byly některé,0
Czech Republic,Czech,zav1.11,Zelené byly některé záclony.,1
Czech Republic,Czech,zav1.11,,0
Czech Republic,Czech,zav1.12,NA,0
Czech Republic,Czech,zav1.12,ona,0
Czech Republic,Czech,zav1.12,ona našla rukavice vyhozené,1
Czech Republic,Czech,zav1.12,ona našla vyhodzené rukavice,1
Czech Republic,Czech,zav1.12,ona nasla vyhozene rukavice,1
Czech Republic,Czech,zav1.12,ona našla vyhozene rukavice,1
Czech Republic,Czech,zav1.12,ona našla vyhozené rukavice,1
Czech Republic,Czech,zav1.12,Ona našla vyhozené rukavice,1
Czech Republic,Czech,zav1.12,ona nasla vyhozene rukavice ,1
Czech Republic,Czech,zav1.12,Ona našla vyhozené rukavice ,1
Czech Republic,Czech,zav1.12,Ona Našla vyhozené rukavice ,1
Czech Republic,Czech,zav1.12,Ona našla vyhozené rukavice.,1
Czech Republic,Czech,zav1.12,Ona našla vyhozené rukavice. ,1
Czech Republic,Czech,zav1.12,ona našla vyhzené rukavice,1
Czech Republic,Czech,zav1.12,vyhozené rukavice našla ona,1
Czech Republic,Czech,zav1.12,Vyhozené rukavice našla ona.,1
Czech Republic,Czech,zav1.12,,0
Czech Republic,Czech,zav1.13,Kuřecí maso ona rozmrazila.,1
Czech Republic,Czech,zav1.13,kuřecí maso rozmrazila ona,1
Czech Republic,Czech,zav1.13,NA,0
Czech Republic,Czech,zav1.13,On rozmrazila kuřecí maso,1
Czech Republic,Czech,zav1.13,ona kureci maso rozmlatila bez,2
Czech Republic,Czech,zav1.13,ona rozmrazila kuřecí mase,1
Czech Republic,Czech,zav1.13,ona rozmrazila kuřecí masio,1
Czech Republic,Czech,zav1.13,ona rozmrazila kureci maso,1
Czech Republic,Czech,zav1.13,ona rozmrazila kuřecí maso,1
Czech Republic,Czech,zav1.13,Ona rozmrazila kuřecí maso,1
Czech Republic,Czech,zav1.13,Ona rozmrazila kuřecí maso.,1
Czech Republic,Czech,zav1.13,Ona rozmrazila kuřecí maso. ,1
Czech Republic,Czech,zav1.13,Ona rozmrazila kzřecí mado,1
Czech Republic,Czech,zav1.13,,0
Czech Republic,Czech,zav1.2,Kocour měl blechy,2
Czech Republic,Czech,zav1.2,NA,0
Czech Republic,Czech,zav1.2,nas kocour mel blechy,1
Czech Republic,Czech,zav1.2,náš kocour měl blechy,1
Czech Republic,Czech,zav1.2,Náš kocour měl blechy,1
Czech Republic,Czech,zav1.2,Náš kocour měl blechy.,1
Czech Republic,Czech,zav1.2,Náš kocour měl blechy. ,1
Czech Republic,Czech,zav1.2,Náš kocour měl pořád blechy.,2
Czech Republic,Czech,zav1.2,,0
Czech Republic,Czech,zav1.3,Bolestivé byly jeho omrzliny.,1
Czech Republic,Czech,zav1.3,Jeho omryliány byly bolestivé,1
Czech Republic,Czech,zav1.3,jeho omrzliny byly bolestive,1
Czech Republic,Czech,zav1.3,jeho omrzliny byly bolestivé,1
Czech Republic,Czech,zav1.3,Jeho omrzliny byly bolestivé,1
Czech Republic,Czech,zav1.3,jeho omrzliny byly bolestívé,1
Czech Republic,Czech,zav1.3,jeho omrzliny byly bolestivé ,1
Czech Republic,Czech,zav1.3,Jeho omrzliny byly bolestivé ,1
Czech Republic,Czech,zav1.3,Jeho omrzliny byly bolestivé.,1
Czech Republic,Czech,zav1.3,Jeho omrzliny byly bolestivé. ,1
Czech Republic,Czech,zav1.3,jeho omrzliny byly bolesttivé,1
Czech Republic,Czech,zav1.3,NA,0
Czech Republic,Czech,zav1.3,třebaže byly omrzliny bolestivé,2
Czech Republic,Czech,zav1.3,třebaže jeho omrzliny byly bolestivé,2
Czech Republic,Czech,zav1.3,třebaže jeho omrzliny byly bolestivé ,2
Czech Republic,Czech,zav1.3,třebaže omrzliny bolestivé byly,2
Czech Republic,Czech,zav1.3,třebaže omrzliny byly bolestivé,2
Czech Republic,Czech,zav1.3,Třebaže omrzliny byly bolestivé,2
Czech Republic,Czech,zav1.3,Třebaže omrzliny byly bolestivé.,2
Czech Republic,Czech,zav1.3,,0
Czech Republic,Czech,zav1.4,NA,0
Czech Republic,Czech,zav1.4,na prochádzku šel sám,1
Czech Republic,Czech,zav1.4,na prochazku sel sam,1
Czech Republic,Czech,zav1.4,na procházku šel sám,1
Czech Republic,Czech,zav1.4,Na procházku šel sám,1
Czech Republic,Czech,zav1.4,Na procházku šel sám ,1
Czech Republic,Czech,zav1.4,Na procházku šel sám.,1
Czech Republic,Czech,zav1.4,Na procházku šel sám. ,1
Czech Republic,Czech,zav1.4,sám šel na procházku,1
Czech Republic,Czech,zav1.4,Šel jsem na procházku,2
Czech Republic,Czech,zav1.4,Šel na procházku s,0
Czech Republic,Czech,zav1.4,šel na procházku sám,1
Czech Republic,Czech,zav1.4,Šel na procházku sám,1
Czech Republic,Czech,zav1.4,Šel na procházku sám.,1
Czech Republic,Czech,zav1.4,Šel na procházku sám. ,1
Czech Republic,Czech,zav1.4,šel sám na procházku,1
Czech Republic,Czech,zav1.4,Šel sám na procházku,1
Czech Republic,Czech,zav1.4,Šel sám na procházku.,1
Czech Republic,Czech,zav1.4,Šel sám na procházku. ,1
Czech Republic,Czech,zav1.4,šel sám na procházu,1
Czech Republic,Czech,zav1.4,,0
Czech Republic,Czech,zav1.5,NA,0
Czech Republic,Czech,zav1.5,přišla mu stdená voda,1
Czech Republic,Czech,zav1.5,přišla mu studená voda,1
