"ResponseID","zav1.1","zav1.2","zav1.3","zav1.4","zav1.5","zav1.6","zav1.7","zav1.8","zav1.9","zav1.10","zav1.11","zav1.12","zav1.13","zav2.1","zav2.2","zav2.3","zav2.4","zav2.5","zav2.6","zav2.7","zav2.8","zav2.9","zav2.10","zav2.11","zav2.12","zav2.13","Country","Language","zav.code1","zav.code2","zav.code3","zav.code4","zav.code5","zav.code6","zav.code7","zav.code8","zav.code9","zav.code10","zav.code11","zav.code12","zav.code13","zav.include.strict","zav.include.primed","zav.condition"
"R_3GkeNY5yeSXEz1f","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_eo01qH6qbKhpuiF","","","","","","","","","","","","","","she boils the eggs","the car had fleas","his sunburn was painful","go walk a path","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_2wmmS2PYXI1SBem","","","","","","","","","","","","","","she boils the egg.","the cat had fleas.","his sunburn was painful.","go for a walk.","the water felt hot.","the movie was new.","he saw the train.","the tree was burning.","toss the ball once.","the old man sweats.","the curtain was green.","she found a glove.","she roasted the potatoes.","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_1rerslN02KHJzDA","she leftovers the freezes","the cat had fleas","his frostbite was painful ","go walk for path","the water felt cold","the movie was new","he saw the train","the lake was frozen","the ball toss once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",2,1,1,2,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_0Jku5ccurchOnSl","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_bey8OKTxBoDZEul","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_0StAkxMBqMMrtnj","she freezes the leftovers","the cat had fleas","his frostbite was painful ","go for a walk","felt the cold water","the movie was new ","he saw the train","the lake was frozen","toss the ball once","the old man shivers ","the curtain was green","she found a glove","she defrosted the meat ","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2U91pM605nGUKLy","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","he felt cold water","The movie was new","He saw the train","the lake was frozen","toss the ball once","The old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,2,1,1,1,1,1,1,1,1,FALSE,TRUE,"Cold"
"R_1rfxDp3ur5z0uKS","","","","","","","","","","","","","","She boils the eggs.","The cat had fleas","His sunburn was painful.","Go for a walk","The water felt hot.","The movie was new","He saw the train.","The tree was burning","Toss the ball once","The old man sweats","The curtain was green","She found a glove","She roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_Tbbf0WehJf6yXWp","","","","","","","","","","","","","","","","","","","","","","","","","","","Australia","English",0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,"Hot"
"R_2Qg2r2OtArXPAli","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","felt the cold water","was the movie new","he saw the train","was the lake frozen","toss the ball once","the old man shivers","was the curtain green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_1eQRvzxRtScIHcS","she freezes the leftovers","the cat had fleas","his frostbite was painful ","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen ","once the ball toss","the old man shivers ","the curtain was green ","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_3oRTIvwqTZr5mrs","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2wTy72830eCK3ii","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found the glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_tS5x2FHyUWa2jUl","She freezes the leftovers ","the cat had fleas ","his frostbite was painful ","go for a walk ","the water felt cold ","the movie was new ","he saw the train ","the lake was frozen ","toss the ball once ","the old man shivers ","how green was the curtain ","she found a glove ","she defrosted the meat ","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,2,1,1,FALSE,TRUE,"Cold"
"R_OGSooxx7QIuSDD3","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","felt the cold water","the movie was new","the train he saw","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_3dSvvJJAvS9LeiY","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","the sudden ball toss","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_3CVJGhe4rPy4ErQ","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","the ball once toss","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_2cez4Nj4SKo1nUe","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_SNmoZBUKraKDac9","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_234E9FAoTemBPR6","","","","","","","","","","","","","","the eggs she boils","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_0oEScoIc440FmzX","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","felt the cold water","the movie was new","he saw the train","was the lake frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_10VgpSctmXgnHG7","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","water had felt cold","the new movie gave","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_1FhPhyEntGEEmb5","She freezes the leftovers","The cat had fleas","His frostbite was painful.","Go for a walk.","The water felt cold","The movie was new.","He saw the train.","The lake was frozen","Toss the ball once.","The old man shivers.","The curtain was green","She found a glove.","She defrosted the meat.","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_1pJN7hxbzqGJ8uq","","","","","","","","","","","","","","She boils the eggs","the cat had fleas","His sunburn was painful","go for a walk","The water felt hot","the movie was new","he saw the train","the tree was burning","the ball toss once","the old man sweats","The curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Hot"
"R_UKP6CDgL9r5dhQt","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","felt the cold water","gave the new movie","he saw the train","the lake was frozen","the sudden ball toss","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_3CN7ddXyZDg3qw4","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","although his sunburn was painful","go for a walk","he had felt hot water","the movie was new","he saw over the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,2,1,2,1,2,1,1,1,1,1,1,FALSE,TRUE,"Hot"
"R_1PU93w9SWkAA9Fh","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3lKxTG3oYwUMbRf","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","gave the movie","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,2,1,1,1,1,1,1,1,FALSE,TRUE,"Cold"
"R_OGL4T6Tlcvns7Jf","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk on the path","the water felt cold","the move was new","he saw the train","the lake was frozen","the ball was tossed once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,2,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_3gZ54baLQRiIjCa","She freezes the leftovers","The cat had fleas ","His frostbite was painful","Go for a walk","The water felt cold","The movie was new ","Saw over the tarin ","The lake was frozen ","Toss the ball once","The old man shivers","The curtain was green ","She found a glove","She defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_3kAkrWilX82kNlR","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_3OjkocRWhS6RsR7","she freezes the leftovers","the cat had fleas","his frostbite was painful","a path for walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","the ball toss once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,2,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_290bCiKnSdyS8Hy","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new ","he saw the train","the tree was burning","toss the ball once ","the old man sweats ","the curtain was green ","she found a glove ","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_1omPjOTNFlCLo24","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the new movie was","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3hsv5JgThveSXHv","the leftovers she freezes","the cat had fleas","his frostbite was painful","a path for walk","the cold water felt","the movie was new","he saw the train","the lake was frozen","the sudden ball toss","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,2,2,1,1,1,1,1,1,1,1,FALSE,TRUE,"Cold"
"R_3s7fJcYr5RwK7ka","","","","","","","","","","","","","","she boiled the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_uyLPBlbLC4bGipb","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_ctZ37qTR5Teen6x","","","","","","","","","","","","","","she boils eggs of","the cat had fleas","he was sunburnt and it was painful","go for a walk ","the hot water felt hot","the movie was new","he saw the train over there","the burning tree should","the ball suddenly tossed once","the man sweats alot","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",2,1,2,1,2,1,2,2,2,2,1,1,1,FALSE,TRUE,"Hot"
"R_XnBQTrNbnkHQGw9","She freezes the leftovers","The cat had fleas","His frostbite was painful","go for a walk","The water felt cold","The movie was new","He saw the train","The lake was frozen","Toss the ball once","The old man shivers","The curtain was green","She found a glove","She defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2uBN6oHlYsbaZ13","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_1HbqlIRVzGLMZxH","the freezes of leftovers","the cat had fleas","although frostbite was painful","go for a walk","had felt cold water","gave the new movie","he saw the train","the lake was frozen","the ball toss once","the old shivers man","how was the curtain","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",2,1,1,1,1,1,1,1,2,0,1,1,1,FALSE,FALSE,"Cold"
"R_a9nR1NIfLwhYF0J","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","the sudden ball toss","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_cCr59xxXwUDIjGZ","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","once the ball toss","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Hot"
"R_3P4PelCjJWGqeLr","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw over the train","the tree was burning","toss the ball once","the old man sweats","the curtainw as green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,2,1,1,1,1,1,1,FALSE,TRUE,"Hot"
"R_3iKCYjTjCHE9wni","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3M9cN7MR577CxCs","she freezes the leftovers","the cat had fleas","his frostbite was painful ","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2an9gHPSQnYFrbB","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_1rcbOepwGDgts1i","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_ekX5OcjlSiiSA6h","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","the ball toss once","the old man shivers","how green the curtain was","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,2,1,2,1,1,FALSE,TRUE,"Cold"
"R_XBZeN9yJyOwEeqZ","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2du0ixUhvjBTwOq","","","","","","","","","","","","","","Of the eggs she boils","The cat had fleas","Although his sunburn was painful","Go for a path walk","The water had felt hot","The movie was new","He saw over the train","The tree was burning","The sudden ball toss","The man sweats of old ","How green was the curtain","She found a glove ","She roasted the potatoees","Australia","English",2,1,2,2,2,1,2,1,1,0,2,1,1,FALSE,FALSE,"Hot"
"R_3CHRi5Gq67dU3dX","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","the ball toss once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE,TRUE,"Cold"
"R_1IJVZuZL3E1EsqM","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_4MHttSKQnopaT5L","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3mksARQTsyiI4vo","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burnin","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3mXtND5bRScTCYp","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","how was the curtain","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_RfZZmsEJT8MDB2F","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","the sudden ball toss","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_2QtTDwapB31uWLG","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_2ckdgdxp5ZqLiIv","She freezes the leftovers","The cat had fleas","His frostbite was painful","Go for a walk","The water felt cold","The movie was new","He saw the train","The lake was frozen","Toss the bal once","The old man shivers","The curtain was green","She found a glove","She defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_291bZL5uVED4fCl","She freezes the leftovers","The cat had fleas","His frostbite was painful","Go for a walk","The water felt cold","The movie was new","He saw the train","The lake was frozen","Toss the ball once ","The old man shivers","The curtain was green","She found a glove","She defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_RDKtJNyenvRjv4R","","","","","","","","","","","","","","she boiled the eggs","the cat had fleas","his sunburn painful was","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,2,1,1,1,1,1,1,1,1,1,1,FALSE,TRUE,"Hot"
"R_3RlwL0wRBgP87Ad","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3qKIiFLuONR614l","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","gave the new movie","saw over the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_1N3UEhdqix5HHmV","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw over the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,2,1,1,1,1,1,1,FALSE,TRUE,"Cold"
"R_sSalXTGulqHVexz","","","","","","","","","","","","","","","","","","","","","","","","","","","Australia","English",0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,"Hot"
"R_2QrFvZ4d4IF3ra7","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful ","go for a walk","the water felt hot","the movie was new","","the tree was burning ","the sudden ball toss","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,0,1,1,1,1,1,1,FALSE,FALSE,"Hot"
